Title_Review,Pros,Cons,id,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Location,Date,Employee_type,Employee_sen,neg,neu,pos,pros_comp,neg,neu,pos,cons_comp,avg_comp,pros_sent,cons_sent,avg_sent
"['good', 'impression', 'first', 'month']","['documentation', 'amazon', 'super', 'important', 'point', 'project', 'meeting', 'lot', 'material', 'learn', 'past', 'mistake', 'understand', 'thing', 'really', 'work', 'around']","['need', 'understand', 'job', 'need', 'improve', 'good', 'depend', 'manager', ""'s"", 'common', 'manager', 'detail', 'everything', 'someone', 'need', 'improve', 'way', 'need', 'really', 'self', 'critic', 'person', 'everyone', 'like']",empReview_73247758,5.0,Amazon,positive,neutral,neutral,"Toronto, ON",2023-02-02,current employee,<1 yrs,0.063,0.752,0.185,0.5994,0.089,0.791,0.12,0.2541,0.42675,positive,positive,positive
['intern'],"['4', 'day', 'shifts', 'nice']","['long', 'hour', 'shift', 'make', 'feel', 'tire']",empReview_73187609,5.0,Amazon,neutral,neutral,neutral,"Toronto, ON",2023-01-31,former employee,<1 yrs,0.0,0.588,0.412,0.4215,0.293,0.707,0.0,-0.4404,-0.009450000000000014,positive,negative,negative
['good'],"['great', 'work', 'balance', 'great', 'environment', 'location', 'far']","['workload', 'heavy', 'sometimes']",empReview_73188818,5.0,Amazon,positive,positive,positive,"Amazon, SK",2023-01-31,former employee,1-3 yrs,0.0,0.423,0.577,0.8481,0.0,1.0,0.0,0.0,0.42405,positive,negative,positive
"['job', 'review']","['good', 'benefit', 'flexible', 'time', 'shift', 'take', 'care', 'employee']","['good', 'organization', 'work', 'well', 'car', 'parking', 'arrangement']",empReview_73190433,5.0,Amazon,positive,positive,positive,,2023-01-31,former employee,,0.0,0.353,0.647,0.875,0.0,0.508,0.492,0.7003,0.78765,positive,positive,positive
"['growth', 'opportunity']","['fast', 'paced', 'start-up', 'culture', 'benefit']","['compensation', 'growth', 'prospect', 'development', 'opportunity']",empReview_73197210,4.0,Amazon,positive,negative,negative,"Vancouver, BC",2023-01-31,current employee,3-5 yrs,0.0,0.606,0.394,0.3818,0.0,0.208,0.792,0.765,0.5734,positive,positive,positive
"['tech', 'recruiter']","['opportunity', 'grow', 'work', 'talented', 'people']","['potential', 'layoff', 'fast', 'pace']",empReview_73208298,4.0,Amazon,neutral,neutral,neutral,,2023-02-01,current employee,,0.0,0.459,0.541,0.7096,0.0,1.0,0.0,0.0,0.3548,positive,negative,positive
"['great', 'company']","['lot', 'challenge', 'speak', 'data', 'great', 'leadership']","['none', 'best', 'company', 'ever', 'glad', 'worked']",empReview_73149307,5.0,Amazon,positive,positive,positive,"Calgary, AB",2023-01-30,former employee,8-10 yrs,0.0,0.625,0.375,0.6597,0.252,0.524,0.224,-0.0946,0.28254999999999997,positive,negative,positive
"['bad', 'wlb']","['good', 'pay', 'benefit', 'new', 'grad']","['lot', 'work', 'high', 'stress']",empReview_73146117,4.0,Amazon,positive,negative,negative,"Vancouver, BC",2023-01-30,current employee,<1 yrs,0.128,0.367,0.505,0.6249,0.412,0.588,0.0,-0.4215,0.10170000000000001,positive,negative,positive
"['okay', 'stressfull']","['pay', 'rate', 'good', 'accord', 'work']","['much', 'stress', 'give', 'employee']",empReview_73105526,4.0,Amazon,negative,negative,negative,"Surrey, BC",2023-01-29,former employee,1-3 yrs,0.136,0.583,0.282,0.3612,0.339,0.661,0.0,-0.4728,-0.05579999999999999,positive,negative,negative
"['great', 'benefit']","['great', 'benefit', 'bonus', 'everything', 'available', '24/7']","['work', 'culture', 'negative', 'depend', 'location', 'little', 'diversity']",empReview_73108472,4.0,Amazon,negative,positive,negative,,2023-01-29,current employee,<1 yrs,0.0,0.28,0.72,0.8834,0.36,0.64,0.0,-0.683,0.10019999999999996,positive,negative,positive
"['sde', 'avs-cpp-sdk', 'team']","['teach', 'fast', 'focus', 'lot', 'time', 'well']","['reduce', 'number', 'meeting']",empReview_73095127,5.0,Amazon,positive,neutral,neutral,,2023-01-29,former employee,,0.0,0.851,0.149,0.2732,0.0,0.755,0.245,0.0772,0.1752,positive,negative,positive
"['good', 'company']","['good', 'pay', 'challenge', 'interesting', 'work']","['toxic', 'team', 'member', 'low', 'growth']",empReview_73094099,4.0,Amazon,neutral,neutral,neutral,"Vancouver, BC",2023-01-28,current employee,,0.132,0.189,0.679,0.7003,0.273,0.39,0.338,0.128,0.41415,positive,positive,positive
"['good', 'company']","['great', 'resume']","['pay', 'structure', 'highly', 'dependent', 'upon', 'stock', 'performance']",empReview_73095940,4.0,Amazon,neutral,neutral,neutral,"Toronto, ON",2023-01-29,current employee,,0.0,0.494,0.506,0.6249,0.149,0.851,0.0,-0.1027,0.2611,positive,negative,positive
"['work', 'amazon', 'expand', 'personal', 'development']","['amazon', 'leadership', 'principle', 'lot', 'opportunity', 'develop', 'work', 'project', 'travel', 'opportunity', 'great', 'networking', 'career', 'growth']","['current', 'marketplace', 'present', 'limit', 'career', 'growth', 'opportunity', 'work', 'warehouse', 'environment', 'versus', 'aesthetically', 'appeal', 'office', 'environment']",empReview_73101250,4.0,Amazon,negative,positive,error,,2023-01-29,current employee,3-5 yrs,0.0,0.588,0.412,0.8979,0.079,0.705,0.216,0.5106,0.70425,positive,positive,positive
